source_concept_id,source_uuid,target_concept_id,target_uuid,equivalence,policy_bucket,source_record_examples
130,be3f9044-1691-11df-97a5-7038c432aabf,1939,130AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
131,be3f917c-1691-11df-97a5-7038c432aabf,32835,131AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
132,be3f92bd-1691-11df-97a5-7038c432aabf,32043,132AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
133,be3f93f5-1691-11df-97a5-7038c432aabf,30700,133AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
134,be3fa75b-1691-11df-97a5-7038c432aabf,1756,134AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
135,be3fa898-1691-11df-97a5-7038c432aabf,28102,135AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
136,be3fa9d8-1691-11df-97a5-7038c432aabf,26706,136AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
137,be3fab77-1691-11df-97a5-7038c432aabf,25167,137AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
138,be3facc9-1691-11df-97a5-7038c432aabf,23593,138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
139,be3fb0f6-1691-11df-97a5-7038c432aabf,22011,139AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
140,be3fc1ec-1691-11df-97a5-7038c432aabf,1184,140AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
141,be3fd99d-1691-11df-97a5-7038c432aabf,813,141AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
142,be3fdbb4-1691-11df-97a5-7038c432aabf,17410,142AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
143,be3fdd82-1691-11df-97a5-7038c432aabf,16042,143AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
144,be3fdf4b-1691-11df-97a5-7038c432aabf,14383,144AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
145,be3fee55-1691-11df-97a5-7038c432aabf,12827,145AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
146,be3ff02b-1691-11df-97a5-7038c432aabf,11123,146AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
147,be3ff3a1-1691-11df-97a5-7038c432aabf,3184,147AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
148,be400602-1691-11df-97a5-7038c432aabf,57260,148AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
149,be401510-1691-11df-97a5-7038c432aabf,55303,149AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
150,be4034a8-1691-11df-97a5-7038c432aabf,53357,150AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
151,be4035f6-1691-11df-97a5-7038c432aabf,3602,151AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
152,be403819-1691-11df-97a5-7038c432aabf,2891,152AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
153,be403963-1691-11df-97a5-7038c432aabf,49227,153AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
154,be403aa3-1691-11df-97a5-7038c432aabf,48597,154AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
155,be403bf5-1691-11df-97a5-7038c432aabf,2719,155AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
156,be403d3f-1691-11df-97a5-7038c432aabf,44974,156AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
157,be403e90-1691-11df-97a5-7038c432aabf,42847,157AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
158,be403fda-1691-11df-97a5-7038c432aabf,40635,158AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
159,be40411f-1691-11df-97a5-7038c432aabf,2312,159AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
160,be40426d-1691-11df-97a5-7038c432aabf,36361,160AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
161,be4043b6-1691-11df-97a5-7038c432aabf,34294,161AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
162,be404504-1691-11df-97a5-7038c432aabf,32213,162AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
163,be404651-1691-11df-97a5-7038c432aabf,30163,163AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
164,be4047f9-1691-11df-97a5-7038c432aabf,28038,164AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
165,be404957-1691-11df-97a5-7038c432aabf,25912,165AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
166,be404ab6-1691-11df-97a5-7038c432aabf,23768,166AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
167,be404c11-1691-11df-97a5-7038c432aabf,21691,167AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
168,be404d6f-1691-11df-97a5-7038c432aabf,19640,168AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
169,be404eca-1691-11df-97a5-7038c432aabf,17609,169AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
170,be405058-1691-11df-97a5-7038c432aabf,15624,170AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
171,be4051a1-1691-11df-97a5-7038c432aabf,13973,171AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
172,be4052ea-1691-11df-97a5-7038c432aabf,13947,172AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
173,be405438-1691-11df-97a5-7038c432aabf,13923,173AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
174,be405585-1691-11df-97a5-7038c432aabf,13901,174AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
175,be4056d3-1691-11df-97a5-7038c432aabf,13876,175AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
176,be40581c-1691-11df-97a5-7038c432aabf,13851,176AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
177,be40596a-1691-11df-97a5-7038c432aabf,1554,177AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
178,be405ab3-1691-11df-97a5-7038c432aabf,13801,178AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
179,be405c01-1691-11df-97a5-7038c432aabf,13776,179AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
180,be405d46-1691-11df-97a5-7038c432aabf,13752,180AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
181,be405e90-1691-11df-97a5-7038c432aabf,13728,181AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
182,be405fd5-1691-11df-97a5-7038c432aabf,13704,182AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
183,be406122-1691-11df-97a5-7038c432aabf,13679,183AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
184,be406270-1691-11df-97a5-7038c432aabf,13656,184AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
185,be4063b9-1691-11df-97a5-7038c432aabf,13632,185AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
186,be406507-1691-11df-97a5-7038c432aabf,13607,186AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
187,be40664c-1691-11df-97a5-7038c432aabf,13583,187AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
188,be40679a-1691-11df-97a5-7038c432aabf,13563,188AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
189,be4068df-1691-11df-97a5-7038c432aabf,13538,189AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
190,be406a2c-1691-11df-97a5-7038c432aabf,3275,190AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
191,be406b76-1691-11df-97a5-7038c432aabf,13493,191AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
192,be406cc3-1691-11df-97a5-7038c432aabf,13467,192AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
193,be406e11-1691-11df-97a5-7038c432aabf,13442,193AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
